"id","variable","before_date","before_time","before_value","after_date","after_time","after_value","missing_date","imputed_time_str","imputed_value","imputation_method"
"AS14.01","appCat.finance",2014-03-28,"2014-03-28 00:15:58",5.013,2014-03-31,"2014-03-31 17:38:51",8.841,2014-03-29,"2014-03-29 18:15:38",15.7658,"weighted_knn_time_weighted"
"AS14.01","appCat.finance",2014-03-28,"2014-03-28 00:15:58",5.013,2014-03-31,"2014-03-31 17:38:51",8.841,2014-03-30,"2014-03-30 18:15:41",15.1424,"weighted_knn_incl_day1"
"AS14.01","appCat.finance",2014-04-08,"2014-04-08 19:22:10",4.012,2014-04-11,"2014-04-11 18:31:08",22.091,2014-04-09,"2014-04-09 19:22:15",6.3773,"weighted_knn_time_weighted"
"AS14.01","appCat.finance",2014-04-08,"2014-04-08 19:22:10",4.012,2014-04-11,"2014-04-11 18:31:08",22.091,2014-04-10,"2014-04-10 19:22:16",6.6701,"weighted_knn_incl_day1"
"AS14.01","appCat.finance",2014-04-11,"2014-04-11 18:31:08",22.091,2014-04-13,"2014-04-13 14:55:48",5.012,2014-04-12,"2014-04-12 18:33:26",4.6071,"weighted_knn_time_weighted"
"AS14.01","appCat.finance",2014-04-15,"2014-04-15 10:51:50",4.013,2014-04-18,"2014-04-18 12:03:40",4.27,2014-04-16,"2014-04-16 10:51:35",4.3476,"weighted_knn_time_weighted"
"AS14.01","appCat.finance",2014-04-15,"2014-04-15 10:51:50",4.013,2014-04-18,"2014-04-18 12:03:40",4.27,2014-04-17,"2014-04-17 10:51:32",4.4172,"weighted_knn_incl_day1"
"AS14.01","appCat.finance",2014-04-26,"2014-04-26 10:36:08",4.008,2014-04-28,"2014-04-28 10:15:12",3.008,2014-04-27,"2014-04-27 10:36:22",7.7525,"weighted_knn_time_weighted"
"AS14.01","appCat.finance",2014-04-28,"2014-04-28 10:15:12",3.008,2014-04-30,"2014-04-30 12:45:23",6.024,2014-04-29,"2014-04-29 18:21:08",122.891,"weighted_knn_time_weighted"
"AS14.01","appCat.game",2014-03-28,"2014-03-28 18:30:14",41.125,2014-03-31,"2014-03-31 14:07:30",51.176,2014-03-29,"2014-03-29 18:31:08",116.6101,"weighted_knn_time_weighted"
"AS14.01","appCat.game",2014-03-28,"2014-03-28 18:30:14",41.125,2014-03-31,"2014-03-31 14:07:30",51.176,2014-03-30,"2014-03-30 18:31:08",116.5896,"weighted_knn_incl_day1"
"AS14.01","appCat.office",2014-03-21,"2014-03-21 11:17:02",62.281,2014-03-24,"2014-03-24 11:00:01",3.01,2014-03-22,"2014-03-22 20:33:14",55.9662,"weighted_knn_time_weighted"
"AS14.01","appCat.office",2014-03-21,"2014-03-21 11:17:02",62.281,2014-03-24,"2014-03-24 11:00:01",3.01,2014-03-23,"2014-03-23 20:33:14",55.7621,"weighted_knn_incl_day1"
"AS14.01","appCat.office",2014-03-24,"2014-03-24 11:00:01",3.01,2014-03-27,"2014-03-27 11:12:57",68.235,2014-03-25,"2014-03-25 14:09:05",16.5283,"weighted_knn_time_weighted"
"AS14.01","appCat.office",2014-03-24,"2014-03-24 11:00:01",3.01,2014-03-27,"2014-03-27 11:12:57",68.235,2014-03-26,"2014-03-26 14:09:06",20.3667,"weighted_knn_incl_day1"
"AS14.01","appCat.office",2014-04-07,"2014-04-07 12:53:47",17.107,2014-04-10,"2014-04-10 11:19:56",23.195,2014-04-08,"2014-04-08 12:50:45",21.5164,"weighted_knn_time_weighted"
